id;correspondent_name;fax_number;address;telephone_office;telephone_alternate;web_site
1;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit
2;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia
3;Ports Manager Fish;Networked;Fish;payment calculating;local area network Benin;turn-key dedicated
4;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local;calculate;Chips
5;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc
6;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders
7;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;Garden Dale Wallis and Futuna;generating;Computers Small Fresh Gloves back-end
8;interface;compress lavender Investment Account;backing up;Iran;Philippine Peso Metal;Strategist
9;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating;Som Rustic Frozen Keyboard ROI;Benin
10;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge;Ergonomic Steel Gloves
